Fold,Linear R²,Random Forest R²,Decision Tree R²,Linear RMSE,Random Forest RMSE,Decision Tree RMSE,Versie,Datum
1,0.0173,0.0268,-0.1077,20.313,20.2144,21.5659,v2_features,01-11-2025 23:25
2,0.03,0.0398,-0.1349,19.8555,19.7553,21.4776,v2_features,01-11-2025 23:25
3,0.0277,0.0404,-0.1015,20.0374,19.906,21.3277,v2_features,01-11-2025 23:25
4,0.0272,0.0324,-0.1253,20.0659,20.0121,21.5815,v2_features,01-11-2025 23:25
5,0.0312,0.0666,-0.0963,19.7528,19.3891,21.0131,v2_features,01-11-2025 23:25
